Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-05,295,106,189,42
2012-07-06,600,231,369,132
2012-07-07,116,42,74,48
2012-07-08,172,45,127,38
2012-07-09,535,195,340,145
2012-07-10,853,284,569,179
2012-07-11,627,266,361,149
2012-07-12,708,299,409,130
2012-07-13,604,243,361,184
2012-07-14,107,34,73,33
2012-07-15,212,67,145,78
2012-07-16,536,172,364,127
2012-07-17,669,198,471,114
2012-07-18,673,284,389,114
2012-07-19,763,276,487,210
2012-07-20,583,198,385,145
2012-07-21,156,42,114,62
2012-07-22,235,66,169,55
2012-07-23,872,335,537,261
2012-07-24,2501,1242,1259,691
2012-07-25,1313,514,799,371
2012-07-26,664,283,381,139
2012-07-27,620,253,367,156
2012-07-28,125,47,78,34
2012-07-29,217,51,166,32
2012-07-30,527,210,317,163
2012-07-31,875,327,548,281
2012-08-01,693,287,406,172
2012-08-02,634,218,416,121
2012-08-03,657,222,435,143
2012-08-04,129,31,98,58
2012-08-05,218,47,171,61
2012-08-06,618,217,401,131
2012-08-07,574,213,361,109
2012-08-08,610,192,418,103
2012-08-09,515,191,324,120
2012-08-10,410,184,226,85
2012-08-11,171,45,126,43
2012-08-12,197,63,134,52
2012-08-13,784,288,496,158
2012-08-14,668,241,427,126
2012-08-15,663,245,418,90
2012-08-16,765,287,478,143
2012-08-17,985,366,619,291
2012-08-18,300,66,234,75
2012-08-19,452,91,361,115
2012-08-20,1556,547,1009,468
2012-08-21,1628,684,944,488
2012-08-22,1302,504,798,367
2012-08-23,1229,484,745,366
2012-08-24,2007,786,1221,557
2012-08-25,1120,320,800,328
2012-08-26,889,241,648,242
2012-08-27,1763,608,1155,550
2012-08-28,1254,404,850,300
2012-08-29,1083,331,752,259
2012-08-30,1043,380,663,206
2012-08-31,924,327,597,210
2012-09-01,246,67,179,86
2012-09-02,194,51,143,80
2012-09-03,405,115,290,114
2012-09-04,999,347,652,350
2012-09-05,1027,410,617,330
2012-09-06,1124,424,700,233
2012-09-07,770,259,511,199
2012-09-08,294,67,227,76
2012-09-09,460,112,348,157
2012-09-10,1377,668,709,306
2012-09-11,1384,600,784,404
2012-09-12,2476,1110,1366,623
2012-09-13,1822,667,1155,464
2012-09-14,1605,625,980,476
2012-09-15,396,123,273,126
2012-09-16,514,123,391,128
2012-09-17,1809,587,1222,527
2012-09-18,1483,490,993,423
2012-09-19,1357,469,888,422
2012-09-20,1525,569,956,321
2012-09-21,1557,596,961,334
2012-09-22,439,144,295,137
2012-09-23,660,220,440,199
2012-09-24,2372,1062,1310,692
2012-09-25,2100,940,1160,718
2012-09-26,2295,1045,1250,719
2012-09-27,1785,737,1048,561
2012-09-28,1812,756,1056,519
2012-09-29,591,182,409,147
2012-09-30,538,188,350,131
2012-10-01,1845,777,1068,590
2012-10-02,715,288,427,180
2012-11-10,3,1,2,2
2012-11-11,22,10,12,12
2012-11-12,91,38,53,32
2012-11-13,103,29,74,23
2012-11-14,88,32,56,18
2012-11-15,124,40,84,25
2012-11-16,95,33,62,19
2012-11-17,24,5,19,8
2012-11-18,41,15,26,18
2012-11-19,116,35,81,19
2012-11-20,87,11,76,15
2012-11-21,72,19,53,24
2012-11-22,27,5,22,2
2012-11-23,51,11,40,11
2012-11-24,29,6,23,10
2012-11-25,26,4,22,10
2012-11-26,158,41,117,37
2012-11-27,117,33,84,31
2012-11-28,121,32,89,31
2012-11-29,127,38,89,28
2012-11-30,269,86,183,61
2012-12-01,114,37,77,24
2012-12-02,126,31,95,27
2012-12-03,154,65,89,47
2012-12-04,147,37,110,27
2012-12-05,134,28,106,39
2012-12-06,126,35,91,42
2012-12-07,80,15,65,12
2012-12-08,49,8,41,9
2012-12-09,97,14,83,15
2012-12-10,143,36,107,29
2012-12-11,139,36,103,22
2012-12-12,129,41,88,34
2012-12-13,109,32,77,24
2012-12-14,117,36,81,20
2012-12-15,76,10,66,11
2012-12-16,34,8,26,3
2012-12-17,128,21,107,14
2012-12-18,106,18,88,9
2012-12-19,114,13,101,22
2012-12-20,105,30,75,13
2012-12-21,121,24,97,14
2012-12-22,35,4,31,6
2012-12-23,40,5,35,3
2012-12-24,73,16,57,11
2012-12-25,10,2,8,5
2012-12-26,51,9,42,2
2012-12-27,162,22,140,18
2012-12-28,78,14,64,9
2012-12-29,28,6,22,8
2012-12-30,58,10,48,6
2012-12-31,106,26,80,15
2013-01-01,38,4,34,4
2013-01-02,118,26,92,9
2013-01-03,77,24,53,9
2013-01-04,74,16,58,10
2013-01-05,501,118,383,126
2013-01-06,807,242,565,224
2013-01-07,2751,1054,1697,503
2013-01-08,2498,909,1589,588
2013-01-09,3132,1330,1802,694
2013-01-10,3291,1397,1894,705
2013-01-11,2164,838,1326,438
2013-01-12,672,233,439,137
2013-01-13,1298,424,874,232
2013-01-14,5452,2437,3015,1297
2013-01-15,5856,2462,3394,1226
2013-01-16,4315,1772,2543,961
2013-01-17,2902,1010,1892,648
2013-01-18,3200,1105,2095,623
2013-01-19,803,194,609,146
2013-01-20,1033,274,759,238
2013-01-21,1409,456,953,336
2013-01-22,3477,1270,2207,911
2013-01-23,8108,3713,4395,1857
2013-01-24,8324,3603,4721,1798
2013-01-25,6539,2767,3772,1417
2013-01-26,2023,533,1490,557
2013-01-27,2151,637,1514,557
2013-01-28,4025,1527,2498,897
2013-01-29,3171,1061,2110,690
2013-01-30,2363,852,1511,442
2013-01-31,1667,548,1119,325
2013-02-01,2474,891,1583,515
2013-02-02,517,132,385,144
2013-02-03,670,171,499,140
2013-02-04,2779,1086,1693,542
2013-02-05,2429,822,1607,590
2013-02-06,2792,984,1808,467
2013-02-07,3655,1450,2205,726
2013-02-08,2167,839,1328,519
2013-02-09,547,151,396,131
2013-02-10,774,230,544,173
2013-02-11,2434,882,1552,661
2013-02-12,3759,1543,2216,373
2013-02-13,2704,889,1815,211
2013-02-14,2110,679,1431,194
2013-02-15,2322,741,1581,250
2013-02-16,385,95,290,30
2013-02-17,526,137,389,39
2013-02-18,659,152,507,55
2013-02-19,2223,708,1515,160
2013-02-20,2888,1063,1825,250
2013-02-21,2589,921,1668,206
2013-02-22,1856,531,1325,164
2013-02-23,442,123,319,55
2013-02-28,2099,684,1415,167
2013-03-01,3496,1392,2104,377
2013-03-02,878,277,601,146
2013-03-03,913,282,631,153
2013-03-04,4484,1955,2529,411
2013-03-05,2762,945,1817,265
2013-03-06,2551,844,1707,259
2013-03-07,2624,795,1829,281
2013-03-08,1708,565,1143,166
2013-03-09,257,67,190,42
2013-03-10,394,116,278,30
2013-03-11,2065,774,1291,221
2013-03-12,3157,1376,1781,347
2013-03-13,3802,2004,1798,480
2013-03-14,3136,1531,1605,308
2013-04-05,701,215,486,72
2013-04-06,494,115,379,45
2013-04-07,502,94,408,36
2013-04-08,1307,447,860,145
2013-04-09,1438,437,1001,174
2013-04-10,1493,466,1027,183
2013-04-11,1176,385,791,160
2013-04-12,1253,364,889,116
2013-04-13,251,61,190,30
2013-04-14,386,103,283,19
2013-04-15,1541,543,998,121
2013-04-16,1327,392,935,128
2013-04-17,4146,1776,2370,415
2013-04-18,4102,1602,2500,427
2013-04-19,2413,981,1432,308
2013-04-20,557,175,382,69
2013-04-21,740,225,515,96
2013-04-22,2360,887,1473,262
2013-04-23,7018,3259,3759,771
2013-04-24,4551,1811,2740,580
2013-04-25,1748,540,1208,213
2013-04-26,1947,604,1343,207
2013-04-27,447,104,343,30
2013-04-28,499,166,333,29
2013-04-29,1824,696,1128,230
2013-04-30,2340,855,1485,353
2013-05-01,1576,537,1039,207
2013-05-02,1390,438,952,256
2013-05-03,1109,406,703,123
2013-05-04,323,75,248,34
2013-05-05,339,76,263,26
2013-05-06,1716,567,1149,264
2013-05-07,1349,443,906,176
2013-05-08,1681,527,1154,182
