Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,54,4,50,0
2012-07-23,140,22,118,0
2012-07-24,109,23,86,0
2012-07-25,146,26,120,0
2012-07-26,109,13,96,0
2012-07-27,42,10,32,0
2012-07-28,74,4,70,0
2012-07-29,98,8,90,0
2012-07-30,101,13,88,0
2012-07-31,97,11,86,0
2012-08-01,101,10,91,0
2012-08-02,132,18,114,0
2012-08-03,117,15,102,0
2012-08-04,48,4,44,0
2012-08-05,50,4,46,0
2012-08-06,206,27,179,0
2012-08-07,240,19,221,0
2012-08-08,247,34,213,0
2012-08-09,77,9,68,0
2012-08-10,69,10,59,0
2012-08-11,43,8,35,0
2012-08-12,32,4,28,0
2012-08-13,50,15,35,0
2012-08-14,105,10,95,0
2012-08-15,75,14,61,0
2012-08-16,111,17,94,0
2012-08-17,204,24,180,0
2012-08-18,107,9,98,0
2012-08-19,149,18,131,0
2012-08-20,280,34,246,0
2012-08-21,211,24,187,0
2012-08-22,189,27,162,0
2012-08-23,108,20,88,3
2012-08-24,49,24,25,7
2012-08-25,10,5,5,0
2012-08-26,19,6,13,2
2012-08-27,66,19,47,5
2012-08-28,113,32,81,5
2012-08-29,110,32,78,17
2012-08-30,111,35,76,9
2012-08-31,144,46,98,34
2012-09-01,26,6,20,1
2012-09-02,38,15,23,0
2012-09-03,53,20,33,3
2012-09-04,111,31,80,12
2012-09-05,130,45,85,21
2012-09-06,190,41,149,34
2012-09-07,121,23,98,10
2012-09-08,76,15,61,16
2012-09-09,76,21,55,1
2012-09-10,36,10,26,1
2012-09-11,68,17,51,5
2012-09-12,81,32,49,20
2012-09-13,183,55,128,43
2012-09-14,87,28,59,12
2012-09-15,27,5,22,5
2012-09-16,32,5,27,1
2012-09-17,128,42,86,21
2012-09-18,162,57,105,7
2012-09-19,167,40,127,19
2012-09-20,159,48,111,14
2012-09-21,68,28,40,9
2012-09-22,17,6,11,0
2012-09-23,52,3,49,2
2012-09-24,72,28,44,16
2012-09-25,94,22,72,10
2012-09-26,94,40,54,9
2012-09-27,85,23,62,3
2012-09-28,110,35,75,2
2012-09-29,43,8,35,1
2012-09-30,51,15,36,6
2012-10-01,97,29,68,4
2012-10-02,137,49,88,21
2012-10-03,131,44,87,7
2012-10-04,208,76,132,40
2012-10-05,143,59,84,22
2012-10-06,31,13,18,5
2012-10-07,32,9,23,9
2012-10-08,128,50,78,28
2012-10-09,121,46,75,36
2012-10-10,134,45,89,27
2012-10-11,155,49,106,22
2012-10-12,185,59,126,22
2012-10-13,44,12,32,3
2012-10-14,34,6,28,1
2012-10-15,100,32,68,22
2012-10-16,106,35,71,22
2012-10-17,221,78,143,30
2012-10-18,112,43,69,22
2012-10-19,79,23,56,18
2012-10-20,54,9,45,4
2012-10-21,57,12,45,5
2012-10-22,173,69,104,6
2012-10-23,175,65,110,28
2012-10-24,172,49,123,21
2012-10-25,198,64,134,22
2012-10-26,122,32,90,12
2012-10-27,74,14,60,0
2012-10-28,118,22,96,0
2012-10-29,101,36,65,10
2012-10-30,134,37,97,33
2012-10-31,169,58,111,20
2012-11-01,218,53,165,21
2012-11-02,281,82,199,36
2012-11-03,87,23,64,12
2012-11-04,79,20,59,8
2012-11-05,156,45,111,6
2012-11-06,260,68,192,38
2012-11-07,219,60,159,10
2012-11-08,156,43,113,6
2012-11-09,131,35,96,0
2012-11-10,39,7,32,1
2012-11-11,52,7,45,0
2012-11-12,145,31,114,0
2012-11-13,81,14,67,1
2012-11-14,74,14,60,6
2012-11-15,91,17,74,3
2012-11-16,89,13,76,7
2012-11-17,44,7,37,0
2012-11-18,42,10,32,0
2012-11-19,87,19,68,5
2012-11-20,61,13,48,2
2012-11-21,73,13,60,9
2012-11-22,15,2,13,2
2012-11-23,36,9,27,3
2012-11-24,28,10,18,3
2012-11-25,30,4,26,2
2012-11-26,39,10,29,3
2012-11-27,49,11,38,1
2012-11-28,60,11,49,1
2012-11-29,110,18,92,2
2012-11-30,64,14,50,3
2012-12-01,63,15,48,1
2012-12-02,55,9,46,4
2012-12-03,124,36,88,3
2012-12-04,88,17,71,6
2012-12-05,104,37,67,7
2012-12-06,95,22,73,0
2012-12-07,123,30,93,6
2012-12-08,98,14,84,5
2012-12-09,95,11,84,5
2012-12-10,146,23,123,17
2012-12-11,88,14,74,7
2012-12-12,71,15,56,1
2012-12-13,146,28,118,8
2012-12-14,141,22,119,1
2012-12-15,123,17,106,7
2012-12-16,129,24,105,7
2012-12-17,163,18,145,16
2012-12-18,146,25,121,12
2012-12-19,150,26,124,5
2012-12-20,134,23,111,3
2012-12-21,160,25,135,4
2012-12-22,98,12,86,2
2012-12-23,79,10,69,6
2012-12-24,99,17,82,6
2012-12-25,44,10,34,3
2012-12-26,145,28,117,1
2012-12-27,173,43,130,3
2012-12-28,66,16,50,4
2012-12-29,33,2,31,3
2012-12-30,59,6,53,1
2012-12-31,82,20,62,5
2013-01-01,90,10,80,2
2013-01-02,185,36,149,14
2013-01-03,127,31,96,6
2013-01-04,120,23,97,6
2013-01-05,100,14,86,7
2013-01-06,84,10,74,6
2013-01-07,235,53,182,32
2013-01-08,373,110,263,85
2013-01-09,210,48,162,40
2013-01-10,203,43,160,25
2013-01-11,251,57,194,41
