Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,73,25,48,13
2012-07-23,226,118,108,57
2012-07-24,316,139,177,53
2012-07-25,228,112,116,38
2012-07-26,172,78,94,30
2012-07-27,178,89,89,51
2012-07-28,33,12,21,7
2012-07-29,28,7,21,7
2012-07-30,130,55,75,13
2012-07-31,269,101,168,29
2012-08-01,276,105,171,31
2012-08-02,203,83,120,16
2012-08-03,218,72,146,32
2012-08-04,136,36,100,9
2012-08-05,155,41,114,11
2012-08-06,194,82,112,39
2012-08-07,240,98,142,32
2012-08-08,187,67,120,18
2012-08-09,152,60,92,12
2012-08-10,177,79,98,16
2012-08-11,253,92,161,7
2012-08-12,196,68,128,11
2012-08-13,328,221,107,17
2012-08-14,304,166,138,13
2012-08-15,436,326,110,23
2012-08-16,239,148,91,19
2012-08-17,326,189,137,32
2012-08-18,201,85,116,4
2012-08-19,150,49,101,15
2012-08-20,499,407,92,23
2012-08-21,621,486,135,37
2012-08-22,230,92,138,8
2012-08-23,169,72,97,28
2012-08-24,110,47,63,23
2012-08-25,114,50,64,9
2012-08-26,60,26,34,5
2012-08-27,280,168,112,27
2012-08-28,589,492,97,33
2012-08-29,442,313,129,30
2012-08-30,897,753,144,24
2012-08-31,217,65,152,21
2012-09-01,162,61,101,13
2012-09-02,257,93,164,7
2012-09-03,243,95,148,14
2012-09-04,347,163,184,22
2012-09-05,226,97,129,24
2012-09-06,278,135,143,34
2012-09-07,370,163,207,73
2012-09-08,184,46,138,21
2012-09-09,183,63,120,22
2012-09-10,242,90,152,46
2012-09-11,323,117,206,37
2012-09-12,220,86,134,22
2012-09-13,443,176,267,35
2012-09-14,375,136,239,76
2012-09-15,212,76,136,32
2012-09-16,199,54,145,19
2012-09-17,318,104,214,32
2012-09-18,403,158,245,46
2012-09-19,328,109,219,46
2012-09-20,259,122,137,28
2012-09-21,311,120,191,25
2012-09-22,173,53,120,13
2012-09-23,172,62,110,12
2012-09-24,246,99,147,30
2012-09-25,200,94,106,12
2012-09-26,353,166,187,30
2012-09-27,331,123,208,26
2012-09-28,321,144,177,32
2012-09-29,222,67,155,16
2012-09-30,178,52,126,15
2012-10-01,295,126,169,35
2012-10-02,311,121,190,33
2012-10-03,415,184,231,37
2012-10-04,354,140,214,52
2012-10-05,421,173,248,52
2012-10-06,215,84,131,10
2012-10-07,287,108,179,17
2012-10-08,360,130,230,34
2012-10-09,336,146,190,20
2012-10-10,362,126,236,25
2012-10-11,259,96,163,28
2012-10-12,500,182,318,52
2012-10-13,198,59,139,12
2012-10-14,188,52,136,11
2012-10-15,367,132,235,41
2012-10-16,566,217,349,60
2012-10-17,615,253,362,76
2012-10-18,400,136,264,54
2012-10-19,474,181,293,36
2012-10-20,237,73,164,20
2012-10-21,267,81,186,23
2012-10-22,486,198,288,34
2012-10-23,472,182,290,48
2012-10-24,470,196,274,40
2012-10-25,391,146,245,53
2012-10-26,323,93,230,18
2012-10-27,287,84,203,21
2012-10-28,232,81,151,16
2012-10-29,266,73,193,12
2012-10-30,220,86,134,16
2012-10-31,412,138,274,15
2012-11-01,475,174,301,41
2012-11-02,464,154,310,43
2012-11-03,320,91,229,25
2012-11-04,436,128,308,17
2012-11-05,484,189,295,57
2012-11-06,561,245,316,46
2012-11-07,983,430,553,93
2012-11-08,466,171,295,49
2012-11-09,251,100,151,20
2012-11-10,155,39,116,18
2012-11-11,216,58,158,20
2012-11-12,282,85,197,23
2012-11-13,269,92,177,39
2012-11-14,438,183,255,51
2012-11-15,350,142,208,41
2012-11-16,265,109,156,33
2012-11-17,141,27,114,6
2012-11-18,153,30,123,10
2012-11-19,248,79,169,34
2012-11-20,208,82,126,39
2012-11-21,216,60,156,20
2012-11-22,57,12,45,12
2012-11-23,99,27,72,15
2012-11-24,127,20,107,29
2012-11-25,137,27,110,19
2012-11-26,229,47,182,40
2012-11-27,283,88,195,38
2012-11-28,261,88,173,26
2012-11-29,282,82,200,49
2012-11-30,221,81,140,18
2012-12-01,147,34,113,14
2012-12-02,214,19,195,35
2012-12-03,205,66,139,34
2012-12-04,270,93,177,43
2012-12-05,438,160,278,99
2012-12-06,302,82,220,93
2012-12-07,243,71,172,49
2012-12-08,111,21,90,11
2012-12-09,190,43,147,25
2012-12-10,244,66,178,33
2012-12-11,208,77,131,23
2012-12-12,213,67,146,21
2012-12-13,226,66,160,57
2012-12-14,280,71,209,33
2012-12-15,124,22,102,12
2012-12-16,141,28,113,12
2012-12-17,406,134,272,82
2012-12-18,416,141,275,131
2012-12-19,356,112,244,93
2012-12-20,393,144,249,99
2012-12-21,269,110,159,43
2012-12-22,128,34,94,27
2012-12-23,75,27,48,11
2012-12-24,89,23,66,18
2012-12-25,59,11,48,16
2012-12-26,271,105,166,62
2012-12-27,347,108,239,86
2012-12-28,312,107,205,103
2012-12-29,149,29,120,34
2012-12-30,296,51,245,109
2012-12-31,381,116,265,106
2013-01-01,295,81,214,93
2013-01-02,432,121,311,128
2013-01-03,334,101,233,104
2013-01-04,255,61,194,47
2013-01-05,112,17,95,14
2013-01-06,138,30,108,27
2013-01-07,366,117,249,110
2013-01-08,259,72,187,58
2013-01-09,507,202,305,136
2013-01-10,167,48,119,62
2013-01-11,203,64,139,53
2013-01-12,87,23,64,24
2013-01-13,111,28,83,22
2013-01-14,202,51,151,73
2013-01-15,210,67,143,57
2013-01-16,310,90,220,111
2013-01-17,508,203,305,144
2013-01-18,278,109,169,50
2013-01-19,88,28,60,15
2013-01-20,91,29,62,15
2013-01-21,165,45,120,23
