Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,38,10,28,3
2012-07-23,131,38,93,3
2012-07-24,186,86,100,24
2012-07-25,189,70,119,11
2012-07-26,173,47,126,3
2012-07-27,188,52,136,1
2012-07-28,43,12,31,0
2012-07-29,65,15,50,3
2012-07-30,103,31,72,6
2012-07-31,115,43,72,3
2012-08-01,139,39,100,4
2012-08-02,154,52,102,4
2012-08-03,161,64,97,1
2012-08-04,66,18,48,0
2012-08-05,39,14,25,3
2012-08-06,123,31,92,1
2012-08-07,106,51,55,2
2012-08-08,78,23,55,1
2012-08-09,80,29,51,4
2012-08-10,125,45,80,3
2012-08-11,78,32,46,0
2012-08-12,65,29,36,0
2012-08-13,188,76,112,0
2012-08-14,168,59,109,1
2012-08-15,434,193,241,62
2012-08-16,406,152,254,40
2012-08-17,247,77,170,13
2012-08-18,70,35,35,4
2012-08-19,38,11,27,3
2012-08-20,156,53,103,17
2012-08-21,182,66,116,7
2012-08-22,139,48,91,8
2012-08-23,129,58,71,0
2012-08-24,132,57,75,3
2012-08-25,70,33,37,2
2012-08-26,116,39,77,3
2012-08-27,180,53,127,3
2012-08-28,441,161,280,9
2012-08-29,209,74,135,8
2012-08-30,273,129,144,3
2012-08-31,182,76,106,3
2012-09-01,72,32,40,0
2012-09-02,34,13,21,0
2012-09-03,146,60,86,0
2012-09-04,305,126,179,1
2012-09-05,306,96,210,0
2012-09-06,233,95,138,2
2012-09-07,170,67,103,1
2012-09-08,79,27,52,0
2012-09-09,69,30,39,0
2012-09-10,130,51,79,0
2012-09-11,141,57,84,3
2012-09-12,226,82,144,0
2012-09-13,158,54,104,0
2012-09-14,188,58,130,4
2012-09-15,97,33,64,0
2012-09-16,56,19,37,0
2012-09-17,132,41,91,2
2012-09-18,97,38,59,7
2012-09-19,96,37,59,3
2012-09-20,162,55,107,3
2012-09-21,257,85,172,3
2012-09-22,61,20,41,2
2012-09-23,82,31,51,3
2012-09-24,233,72,161,5
2012-09-25,193,57,136,1
2012-09-26,316,107,209,3
2012-09-27,218,85,133,0
2012-09-28,192,60,132,4
2012-09-29,86,30,56,5
2012-09-30,99,37,62,4
2012-10-01,206,67,139,5
2012-10-02,193,63,130,13
2012-10-03,236,77,159,13
2012-10-04,276,103,173,13
2012-10-05,189,63,126,1
2012-10-06,96,26,70,3
2012-10-07,212,92,120,3
2012-10-08,231,81,150,9
2012-10-09,203,67,136,1
2012-10-10,222,85,137,9
2012-10-11,247,114,133,6
2012-10-12,189,82,107,2
2012-10-13,82,26,56,0
2012-10-14,120,34,86,4
2012-10-15,173,59,114,9
2012-10-16,324,130,194,26
2012-10-17,356,124,232,28
2012-10-18,424,156,268,27
2012-10-19,293,93,200,8
2012-10-20,123,52,71,2
2012-10-21,124,50,74,1
2012-10-22,335,155,180,3
2012-10-23,288,116,172,6
2012-10-24,243,93,150,8
2012-10-25,248,92,156,17
2012-10-26,213,81,132,5
2012-10-27,145,52,93,2
