Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,5,1,4,0
2012-07-23,5,2,3,0
2012-07-24,18,10,8,0
2012-07-25,11,4,7,0
2012-07-26,4,0,4,0
2012-07-27,3,1,2,0
2012-07-29,1,1,0,0
2012-07-30,6,3,3,0
2012-07-31,7,2,5,0
2012-08-01,4,3,1,0
2012-08-02,24,11,13,0
2012-08-03,6,3,3,0
2012-08-04,11,1,10,0
2012-08-05,2,0,2,0
2012-08-06,13,5,8,0
2012-08-07,3,2,1,0
2012-08-08,2,1,1,0
2012-08-09,7,5,2,0
2012-08-10,1,1,0,0
2012-08-11,2,0,2,0
2012-08-12,2,0,2,0
2012-08-13,3,0,3,0
2012-08-14,3,2,1,0
2012-08-15,8,5,3,0
2012-08-16,8,6,2,0
2012-08-17,3,1,2,0
2012-08-18,5,2,3,0
2012-08-19,4,2,2,0
2012-08-20,16,8,8,0
2012-08-21,186,104,82,0
2012-08-22,149,67,82,0
2012-08-23,39,21,18,5
2012-08-24,13,9,4,5
2012-08-25,2,1,1,1
2012-08-26,3,2,1,2
2012-08-27,24,21,3,11
2012-08-28,32,13,19,9
2012-08-29,14,6,8,5
2012-08-30,24,17,7,3
2012-08-31,25,14,11,9
2012-09-01,3,1,2,0
2012-09-02,3,2,1,2
2012-09-03,6,2,4,5
2012-09-04,15,10,5,3
2012-09-05,21,12,9,6
2012-09-06,17,10,7,7
2012-09-07,9,5,4,2
2012-09-08,2,0,2,1
2012-09-09,3,1,2,2
2012-09-10,3,1,2,0
2012-09-11,2,1,1,1
2012-09-12,12,4,8,3
2012-09-13,13,8,5,4
2012-09-14,9,2,7,0
2012-09-15,3,0,3,2
2012-09-16,2,0,2,0
2012-09-17,8,4,4,0
2012-09-18,7,4,3,2
2012-09-19,27,12,15,7
2012-09-20,23,15,8,7
2012-09-21,21,11,10,7
2012-09-22,5,1,4,3
2012-09-23,2,1,1,0
2012-09-24,19,11,8,5
2012-09-25,43,19,24,7
2012-09-26,31,13,18,14
2012-09-27,12,10,2,5
2012-09-28,7,2,5,0
2012-09-29,7,1,6,3
2012-09-30,9,3,6,6
2012-10-01,40,15,25,9
2012-10-02,21,14,7,4
2012-10-03,87,47,40,22
2012-10-04,44,22,22,16
2012-10-05,32,7,25,15
2012-10-06,13,6,7,10
2012-10-07,11,4,7,9
2012-10-08,26,6,20,18
2012-10-09,25,9,16,14
2012-10-10,33,11,22,21
2012-10-11,19,12,7,11
2012-10-12,30,15,15,13
2012-10-13,13,4,9,7
2012-10-14,7,2,5,4
2012-10-15,19,6,13,12
2012-10-16,29,15,14,14
2012-10-17,26,13,13,8
2012-10-18,26,15,11,4
2012-10-19,33,12,21,1
2012-10-20,4,2,2,1
2012-10-21,4,1,3,0
2012-10-22,17,5,12,3
2012-10-23,34,9,25,5
2012-10-24,39,18,21,8
2012-10-25,21,10,11,8
2012-10-26,6,4,2,4
2012-10-27,6,2,4,4
2012-10-28,3,2,1,2
2012-10-29,4,2,2,0
2012-10-30,3,0,3,0
2012-10-31,10,5,5,5
2012-11-01,9,7,2,3
2012-11-02,12,8,4,2
2012-11-03,1,0,1,0
2012-11-04,2,2,0,1
2012-11-05,6,2,4,1
2012-11-06,3,1,2,3
2012-11-07,7,7,0,0
2012-11-08,5,2,3,2
2012-11-09,2,1,1,1
2012-11-10,4,2,2,1
2012-11-11,1,1,0,1
2012-11-12,11,7,4,3
2012-11-13,25,16,9,4
2012-11-14,9,7,2,2
2012-11-15,69,49,20,15
2012-11-16,91,43,48,24
2012-11-17,8,2,6,7
2012-11-18,4,4,0,1
2012-11-19,10,5,5,5
2012-11-20,11,7,4,7
2012-11-21,18,14,4,3
2012-11-22,21,6,15,3
2012-11-23,6,2,4,2
2012-11-24,3,2,1,0
2012-11-25,3,0,3,0
2012-11-26,20,7,13,6
2012-11-27,9,3,6,2
2012-11-28,17,4,13,9
2012-11-29,7,3,4,2
2012-11-30,3,1,2,0
2012-12-01,2,1,1,1
2012-12-02,2,0,2,1
2012-12-03,33,19,14,12
2012-12-04,13,4,9,3
2012-12-05,25,13,12,12
2012-12-06,11,2,9,3
2012-12-07,8,4,4,3
2012-12-08,3,2,1,1
2012-12-10,4,2,2,1
2012-12-11,21,0,21,0
2012-12-12,9,2,7,0
2012-12-13,7,1,6,0
2012-12-14,1,0,1,1
2012-12-16,7,1,6,1
2012-12-17,6,1,5,0
2012-12-18,3,2,1,2
2012-12-19,5,1,4,1
2012-12-20,1,1,0,0
2012-12-21,4,1,3,1
2012-12-24,4,3,1,1
2012-12-25,3,1,2,0
2012-12-26,1,1,0,0
2012-12-27,6,2,4,3
2012-12-28,6,2,4,1
2012-12-29,5,1,4,1
2012-12-31,1,1,0,1
2013-01-01,2,0,2,0
2013-01-02,16,4,12,2
2013-01-03,11,8,3,2
2013-01-04,2,0,2,1
2013-01-06,1,1,0,1
2013-01-07,6,1,5,2
2013-01-08,6,4,2,3
2013-01-09,7,1,6,3
2013-01-10,4,2,2,1
2013-01-11,2,0,2,0
2013-01-12,5,0,5,2
2013-01-13,2,1,1,0
2013-01-14,265,149,116,60
2013-01-15,308,151,157,54
2013-01-16,250,112,138,68
2013-01-17,102,37,65,26
2013-01-18,35,14,21,13
2013-01-19,16,4,12,4
2013-01-20,53,15,38,23
2013-01-21,63,17,46,20
2013-01-22,167,83,84,70
2013-01-23,95,47,48,37
2013-01-24,131,65,66,56
2013-01-25,104,35,69,27
2013-01-26,15,5,10,6
2013-01-27,48,10,38,19
2013-01-28,71,20,51,30
2013-01-29,112,55,57,39
2013-01-30,100,44,56,42
2013-01-31,90,28,62,26
2013-02-01,363,168,195,111
2013-02-02,95,27,68,49
2013-02-03,96,18,78,35
2013-02-04,469,194,275,143
2013-02-05,519,257,262,112
2013-02-06,126,42,84,27
2013-02-07,84,30,54,25
2013-02-08,170,65,105,34
2013-02-09,79,21,58,20
2013-02-10,49,13,36,2
2013-02-11,121,43,78,38
2013-02-12,86,28,58,31
2013-02-13,92,31,61,21
