Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,11,3,8,0
2012-07-23,59,20,39,0
2012-07-24,74,25,49,0
2012-07-25,38,10,28,0
2012-07-26,55,15,40,0
2012-07-27,46,17,29,0
2012-07-28,23,5,18,0
2012-07-29,21,2,19,0
2012-07-30,52,29,23,0
2012-07-31,66,16,50,0
2012-08-01,29,4,25,0
2012-08-02,43,5,38,0
2012-08-03,78,19,59,0
2012-08-04,20,3,17,0
2012-08-05,21,8,13,0
2012-08-06,13,5,8,0
2012-08-07,60,6,54,0
2012-08-08,32,12,20,0
2012-08-09,30,6,24,0
2012-08-10,28,5,23,0
2012-08-11,10,3,7,0
2012-08-12,4,1,3,0
2012-08-13,31,17,14,0
2012-08-14,19,4,15,0
2012-08-15,32,3,29,0
2012-08-16,60,12,48,0
2012-08-17,76,18,58,0
2012-08-18,18,3,15,0
2012-08-19,11,1,10,0
2012-08-20,42,9,33,0
2012-08-21,39,5,34,0
2012-08-22,66,23,43,0
2012-08-23,35,7,28,0
2012-08-24,30,7,23,0
2012-08-25,12,4,8,1
2012-08-26,25,5,20,0
2012-08-27,41,14,27,3
2012-08-28,47,18,29,2
2012-08-29,17,5,12,1
2012-08-30,23,7,16,3
2012-08-31,40,15,25,3
2012-09-01,25,5,20,0
2012-09-02,52,9,43,1
2012-09-03,28,11,17,1
2012-09-04,26,4,22,9
2012-09-05,14,7,7,2
2012-09-06,17,7,10,6
2012-09-07,7,3,4,1
2012-09-08,4,1,3,4
2012-09-09,2,2,0,1
2012-09-10,9,4,5,8
2012-09-11,4,2,2,2
2012-09-12,4,1,3,2
2012-09-13,4,4,0,2
2012-09-14,6,3,3,3
2012-09-15,3,0,3,0
2012-09-16,1,1,0,0
2012-09-17,7,5,2,3
2012-09-18,15,11,4,2
2012-09-19,2,2,0,1
2012-09-20,2,2,0,1
2012-09-21,7,3,4,3
2012-09-22,1,1,0,0
2012-09-24,1,1,0,0
2012-09-25,5,3,2,3
2012-09-26,3,3,0,0
2012-09-27,12,9,3,6
2012-09-28,10,8,2,4
2012-09-29,3,2,1,0
2012-09-30,4,3,1,0
2012-10-01,5,4,1,1
2012-10-02,8,8,0,1
2012-10-03,7,3,4,3
2012-10-04,12,7,5,1
2012-10-05,9,6,3,4
2012-10-06,6,2,4,1
2012-10-07,4,1,3,3
2012-10-08,6,2,4,0
2012-10-09,5,4,1,1
2012-10-10,4,2,2,2
2012-10-11,6,2,4,0
2012-10-12,14,8,6,4
2012-10-13,2,1,1,0
2012-10-15,5,4,1,2
2012-10-16,9,7,2,2
2012-10-17,72,39,33,16
2012-10-18,55,26,29,10
2012-10-19,39,13,26,4
2012-10-20,2,1,1,1
2012-10-21,3,1,2,0
2012-10-22,8,4,4,0
2012-10-23,9,8,1,3
2012-10-24,10,6,4,1
2012-10-25,5,2,3,2
2012-10-26,8,6,2,3
2012-10-27,5,0,5,3
2012-10-28,3,1,2,0
2012-10-29,2,1,1,0
2012-10-30,2,1,1,1
2012-10-31,13,3,10,1
2012-11-01,11,4,7,1
2012-11-02,5,1,4,0
2012-11-03,2,1,1,1
2012-11-04,2,1,1,0
