Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,4,1,3,1
2012-07-23,31,10,21,17
2012-07-24,26,8,18,13
2012-07-25,22,12,10,3
2012-07-26,22,9,13,3
2012-07-27,61,28,33,8
2012-07-28,9,1,8,0
2012-07-29,7,5,2,0
2012-07-30,9,4,5,2
2012-07-31,21,8,13,2
2012-08-01,15,7,8,5
2012-08-02,21,14,7,7
2012-08-03,45,12,33,4
2012-08-04,2,2,0,1
2012-08-05,5,0,5,1
2012-08-06,23,9,14,4
2012-08-07,21,10,11,2
2012-08-08,29,9,20,1
2012-08-09,26,10,16,4
2012-08-10,4,1,3,2
2012-08-11,7,3,4,1
2012-08-12,4,2,2,0
2012-08-13,36,14,22,5
2012-08-14,82,37,45,26
2012-08-15,81,34,47,26
2012-08-16,43,14,29,11
2012-08-17,77,29,48,29
2012-08-18,19,9,10,4
2012-08-19,12,3,9,0
2012-08-20,38,20,18,9
2012-08-21,49,19,30,12
2012-08-22,57,25,32,21
2012-08-23,67,19,48,9
2012-08-24,72,27,45,8
2012-08-25,68,19,49,4
2012-08-26,49,22,27,8
2012-08-27,72,46,26,11
2012-08-28,65,22,43,16
2012-08-29,124,52,72,18
2012-08-30,70,32,38,12
2012-08-31,86,55,31,11
2012-09-01,30,13,17,3
2012-09-02,16,4,12,4
2012-09-03,32,10,22,4
2012-09-04,69,32,37,6
2012-09-05,65,37,28,13
2012-09-06,90,48,42,14
2012-09-07,95,63,32,11
2012-09-08,5,3,2,2
2012-09-09,16,8,8,6
2012-09-10,32,14,18,4
2012-09-11,60,28,32,10
2012-09-12,53,24,29,14
2012-09-13,55,27,28,5
2012-09-14,83,24,59,7
2012-09-15,29,2,27,2
2012-09-16,8,0,8,1
2012-09-17,36,14,22,7
2012-09-18,42,24,18,1
2012-09-19,173,117,56,21
2012-09-20,122,78,44,30
2012-09-21,88,43,45,9
2012-09-22,13,8,5,5
2012-09-23,8,1,7,0
2012-09-24,130,49,81,34
2012-09-25,223,106,117,31
2012-09-26,224,106,118,71
2012-09-27,169,86,83,20
2012-09-28,95,56,39,6
2012-09-29,18,6,12,2
2012-09-30,11,7,4,3
2012-10-01,78,35,43,23
2012-10-02,102,67,35,22
2012-10-03,92,51,41,21
2012-10-04,87,45,42,28
2012-10-05,92,58,34,25
2012-10-06,17,9,8,5
2012-10-07,36,15,21,17
2012-10-08,100,55,45,31
2012-10-09,65,38,27,17
2012-10-10,120,50,70,27
2012-10-11,119,49,70,24
2012-10-12,85,56,29,19
2012-10-13,29,15,14,11
2012-10-14,25,9,16,8
2012-10-15,87,54,33,19
2012-10-16,83,48,35,24
2012-10-17,121,40,81,21
2012-10-18,1759,947,812,363
2012-10-19,479,257,222,96
2012-10-20,64,32,32,16
2012-10-21,74,27,47,15
2012-10-22,180,79,101,62
2012-10-23,177,79,98,68
2012-10-24,120,47,73,31
2012-10-25,87,31,56,28
2012-10-26,59,34,25,31
2012-10-27,6,3,3,2
2012-10-28,12,10,2,3
2012-10-29,17,8,9,2
2012-10-30,18,9,9,6
2012-10-31,32,23,9,8
2012-11-01,41,24,17,3
2012-11-02,45,29,16,15
2012-11-03,6,2,4,0
2012-11-04,16,6,10,4
2012-11-05,60,25,35,17
2012-11-06,65,33,32,11
2012-11-07,54,35,19,11
2012-11-08,47,26,21,21
2012-11-09,32,18,14,7
2012-11-10,20,7,13,1
2012-11-11,6,1,5,0
2012-11-12,29,10,19,13
2012-11-13,27,12,15,3
2012-11-14,14,10,4,3
2012-11-15,21,16,5,8
2012-11-16,47,18,29,8
2012-11-17,6,2,4,1
2012-11-18,6,3,3,0
2012-11-19,30,18,12,6
2012-11-20,22,9,13,6
2012-11-21,28,14,14,4
2012-11-22,4,4,0,3
2012-11-23,9,8,1,2
2012-11-24,8,3,5,4
2012-11-25,7,4,3,4
2012-11-26,26,17,9,7
2012-11-27,41,24,17,4
2012-11-28,37,18,19,13
2012-11-29,57,30,27,7
2012-11-30,55,25,30,4
2012-12-01,7,1,6,1
2012-12-02,8,2,6,1
2012-12-03,70,24,46,6
2012-12-04,17,4,13,1
2012-12-05,37,19,18,6
2012-12-06,28,16,12,1
2012-12-07,28,20,8,6
2012-12-08,10,3,7,0
2012-12-09,11,5,6,1
2012-12-10,26,11,15,5
2012-12-11,67,24,43,12
2012-12-12,39,25,14,11
2012-12-13,100,61,39,9
2012-12-14,38,21,17,6
2012-12-15,7,3,4,2
2012-12-16,10,10,0,1
2012-12-17,55,32,23,5
2012-12-18,61,34,27,8
2012-12-19,40,19,21,10
2012-12-20,17,7,10,2
2012-12-21,18,10,8,2
2012-12-22,14,2,12,1
2012-12-23,7,3,4,1
2012-12-24,12,6,6,0
2012-12-25,9,3,6,5
2012-12-26,47,21,26,9
2012-12-27,56,28,28,7
2012-12-28,52,27,25,4
2012-12-29,4,0,4,1
2012-12-30,8,2,6,0
2012-12-31,23,16,7,3
2013-01-01,5,3,2,4
2013-01-02,36,14,22,7
2013-01-03,77,35,42,11
2013-01-04,74,45,29,18
2013-01-05,11,6,5,2
2013-01-06,12,6,6,5
2013-01-07,48,18,30,26
2013-01-08,35,17,18,6
2013-01-09,18,12,6,7
2013-01-10,24,17,7,2
2013-01-11,27,14,13,7
2013-01-12,8,2,6,0
2013-01-13,6,4,2,2
2013-01-14,23,11,12,3
2013-01-15,46,27,19,8
2013-01-16,40,22,18,6
2013-01-17,39,14,25,6
2013-01-18,50,27,23,19
2013-01-19,10,3,7,1
2013-01-20,13,3,10,5
2013-01-21,31,13,18,13
2013-01-22,328,147,181,80
2013-01-23,164,78,86,28
2013-01-24,93,45,48,9
2013-01-25,72,32,40,11
2013-01-26,5,2,3,3
2013-01-27,10,4,6,3
2013-01-28,28,11,17,2
2013-01-29,44,23,21,5
2013-01-30,35,14,21,1
2013-01-31,33,10,23,6
2013-02-01,116,56,60,18
2013-02-02,19,8,11,3
2013-02-03,15,6,9,4
2013-02-04,82,32,50,17
2013-02-05,61,27,34,6
2013-02-06,67,35,32,10
2013-02-07,65,36,29,16
2013-02-08,146,67,79,27
2013-02-09,72,24,48,14
2013-02-10,29,8,21,6
2013-02-11,128,54,74,25
2013-02-12,89,36,53,12
2013-02-13,51,17,34,10
2013-02-14,81,40,41,18
2013-02-15,64,37,27,4
