Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,43,8,35,0
2012-07-23,130,28,102,0
2012-07-24,148,61,87,0
2012-07-25,110,28,82,0
2012-07-26,93,19,74,0
2012-07-27,71,26,45,0
2012-07-28,65,10,55,0
2012-07-29,32,8,24,0
2012-07-30,51,14,37,0
2012-07-31,46,13,33,0
2012-08-01,44,9,35,0
2012-08-02,56,18,38,0
2012-08-03,63,20,43,0
2012-08-04,44,9,35,0
2012-08-05,28,6,22,0
2012-08-06,57,22,35,0
2012-08-07,69,17,52,0
2012-08-08,74,23,51,0
2012-08-09,63,18,45,0
2012-08-10,74,30,44,0
2012-08-11,70,20,50,0
2012-08-12,34,6,28,0
2012-08-13,66,17,49,0
2012-08-14,106,30,76,0
2012-08-15,100,28,72,0
2012-08-16,76,25,51,0
2012-08-17,78,21,57,0
2012-08-18,53,10,43,0
2012-08-19,46,8,38,0
2012-08-20,67,21,46,0
2012-08-21,123,37,86,0
2012-08-22,178,60,118,0
2012-08-23,225,48,177,0
2012-08-24,160,48,112,0
2012-08-25,61,18,43,0
2012-08-26,77,15,62,0
2012-08-27,114,44,70,13
2012-08-28,81,25,56,13
2012-08-29,213,79,134,23
2012-08-30,176,78,98,26
2012-08-31,137,47,90,27
2012-09-01,59,14,45,5
2012-09-02,39,6,33,10
2012-09-03,68,26,42,10
2012-09-04,122,44,78,25
2012-09-05,105,34,71,16
2012-09-06,121,39,82,12
2012-09-07,184,68,116,21
2012-09-08,55,15,40,10
2012-09-09,86,25,61,27
2012-09-10,154,59,95,39
2012-09-11,104,41,63,35
2012-09-12,97,40,57,25
2012-09-13,105,47,58,26
2012-09-14,110,47,63,24
2012-09-15,108,27,81,21
2012-09-16,74,29,45,20
2012-09-17,100,30,70,21
2012-09-18,108,43,65,25
2012-09-19,116,39,77,26
2012-09-20,116,35,81,26
2012-09-21,111,39,72,18
2012-09-22,39,12,27,11
2012-09-23,43,15,28,14
2012-09-24,118,45,73,27
2012-09-25,126,40,86,19
2012-09-26,101,34,67,20
2012-09-27,72,25,47,13
2012-09-28,72,25,47,18
2012-09-29,124,28,96,17
2012-09-30,92,27,65,15
2012-10-01,121,38,83,26
2012-10-02,67,21,46,26
2012-10-03,168,67,101,43
2012-10-04,169,55,114,20
2012-10-05,128,40,88,26
2012-10-06,73,14,59,6
2012-10-07,88,19,69,31
2012-10-08,138,38,100,28
2012-10-09,277,92,185,87
2012-10-10,253,68,185,62
2012-10-11,195,46,149,55
2012-10-12,235,71,164,76
2012-10-13,88,28,60,34
2012-10-14,84,20,64,27
2012-10-15,198,40,158,48
2012-10-16,660,213,447,145
2012-10-17,384,105,279,84
2012-10-18,171,41,130,25
2012-10-19,157,42,115,23
2012-10-20,54,14,40,13
2012-10-21,88,21,67,17
2012-10-22,121,28,93,18
2012-10-23,200,53,147,37
2012-10-24,208,46,162,25
2012-10-25,106,28,78,26
2012-10-26,114,18,96,31
2012-10-27,45,10,35,2
2012-10-28,31,6,25,5
2012-10-29,38,6,32,2
2012-10-30,67,15,52,9
2012-10-31,92,25,67,18
2012-11-01,147,39,108,43
2012-11-02,157,37,120,34
2012-11-03,75,17,58,18
2012-11-04,43,15,28,17
2012-11-05,127,54,73,41
2012-11-06,176,59,117,29
2012-11-07,202,71,131,49
2012-11-08,131,40,91,14
2012-11-09,139,33,106,19
2012-11-10,32,8,24,5
2012-11-11,30,6,24,4
2012-11-12,74,27,47,19
2012-11-13,227,75,152,75
2012-11-14,205,54,151,38
2012-11-15,185,64,121,41
2012-11-16,100,26,74,21
2012-11-17,77,12,65,9
2012-11-18,32,8,24,8
2012-11-19,235,82,153,64
2012-11-20,479,175,304,164
2012-11-21,270,97,173,95
2012-11-22,90,10,80,13
2012-11-23,164,40,124,37
2012-11-24,89,22,67,17
2012-11-25,89,23,66,25
2012-11-26,120,48,72,15
2012-11-27,132,37,95,37
2012-11-28,90,32,58,25
2012-11-29,273,97,176,76
2012-11-30,163,59,104,28
2012-12-01,118,32,86,38
2012-12-02,131,37,94,31
2012-12-03,146,61,85,42
2012-12-04,193,66,127,61
2012-12-05,165,63,102,40
2012-12-06,112,38,74,28
2012-12-07,97,27,70,22
2012-12-08,46,11,35,10
2012-12-09,39,8,31,5
2012-12-10,104,31,73,24
2012-12-11,176,71,105,46
2012-12-12,128,40,88,29
2012-12-13,117,33,84,15
2012-12-14,110,54,56,8
2012-12-15,43,15,28,0
2012-12-16,39,9,30,14
2012-12-17,109,36,73,21
2012-12-18,143,59,84,39
2012-12-19,134,36,98,34
2012-12-20,118,64,54,32
2012-12-21,155,45,110,35
2012-12-22,71,21,50,19
2012-12-23,128,24,104,19
2012-12-24,116,35,81,26
2012-12-25,79,20,59,24
2012-12-26,106,32,74,7
2012-12-27,178,56,122,22
2012-12-28,236,69,167,30
2012-12-29,79,26,53,15
2012-12-30,157,44,113,36
2012-12-31,109,46,63,23
2013-01-01,112,38,74,27
2013-01-02,128,32,96,24
2013-01-03,138,40,98,18
2013-01-04,156,58,98,42
2013-01-05,116,31,85,19
2013-01-06,118,34,84,18
2013-01-07,129,37,92,17
2013-01-08,189,73,116,28
2013-01-09,235,85,150,46
2013-01-10,152,45,107,29
2013-01-11,124,38,86,28
2013-01-12,65,22,43,12
2013-01-13,33,14,19,8
2013-01-14,100,36,64,19
2013-01-15,85,25,60,23
2013-01-16,114,35,79,21
2013-01-17,553,238,315,127
2013-01-18,637,222,415,194
2013-01-19,103,19,84,25
2013-01-20,104,34,70,22
2013-01-21,132,31,101,28
2013-01-22,165,48,117,36
2013-01-23,168,58,110,33
2013-01-24,189,49,140,33
