Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,1,0,1,0
2012-07-23,3,1,2,0
2012-07-24,13,2,11,0
2012-07-25,5,0,5,0
2012-07-26,16,1,15,0
2012-07-27,11,1,10,0
2012-07-28,1,1,0,0
2012-07-29,4,3,1,0
2012-07-30,17,4,13,0
2012-07-31,9,4,5,0
2012-08-01,3,3,0,0
2012-08-02,8,0,8,0
2012-08-03,7,2,5,0
2012-08-04,6,0,6,0
2012-08-05,3,2,1,0
2012-08-06,12,3,9,0
2012-08-07,21,5,16,0
2012-08-08,12,4,8,0
2012-08-09,9,1,8,0
2012-08-10,17,5,12,0
2012-08-11,6,1,5,0
2012-08-12,15,4,11,0
2012-08-13,49,8,41,0
2012-08-14,17,4,13,0
2012-08-15,8,1,7,0
2012-08-16,14,6,8,0
2012-08-17,6,0,6,0
2012-08-18,2,0,2,0
2012-08-19,3,1,2,0
2012-08-20,4,1,3,0
2012-08-21,5,3,2,0
2012-08-22,3,2,1,0
2012-08-23,8,1,7,0
2012-08-24,6,0,6,0
2012-08-25,1,0,1,0
2012-08-26,1,0,1,0
2012-08-27,10,2,8,7
2012-08-28,5,0,5,5
2012-08-29,17,3,14,3
2012-08-30,15,2,13,3
2012-08-31,8,2,6,4
2012-09-01,2,1,1,1
2012-09-02,1,1,0,0
2012-09-03,2,0,2,0
2012-09-04,5,4,1,2
2012-09-05,7,3,4,2
2012-09-06,2,1,1,0
2012-09-07,3,2,1,2
2012-09-08,1,1,0,1
2012-09-09,2,2,0,0
2012-09-10,4,1,3,2
2012-09-11,4,2,2,2
2012-09-12,4,3,1,2
2012-09-13,3,0,3,3
2012-09-14,1,1,0,0
2012-09-15,1,0,1,1
2012-09-17,3,3,0,3
2012-09-18,1,1,0,0
2012-09-20,4,1,3,0
2012-09-21,20,4,16,2
2012-09-22,3,1,2,2
2012-09-23,1,0,1,1
2012-09-25,4,1,3,0
2012-09-28,1,1,0,0
2012-09-29,3,2,1,2
2012-10-01,6,2,4,2
2012-10-02,3,2,1,0
2012-10-03,2,1,1,0
2012-10-04,1,0,1,1
2012-10-05,1,1,0,0
2012-10-06,2,1,1,1
2012-10-08,6,1,5,1
2012-10-09,4,0,4,3
2012-10-10,4,4,0,2
2012-10-11,6,3,3,1
2012-10-12,6,2,4,1
2012-10-13,2,0,2,0
2012-10-15,8,6,2,4
2012-10-16,32,7,25,5
2012-10-17,5,3,2,2
2012-10-18,4,3,1,0
2012-10-19,4,0,4,0
2012-10-20,2,1,1,1
2012-10-21,4,1,3,0
2012-10-22,3,1,2,2
