Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-21,10,4,6,0
2012-07-22,17,5,12,0
2012-07-23,52,14,38,0
2012-07-24,55,10,45,0
2012-07-25,62,15,47,0
2012-07-26,50,9,41,0
2012-07-27,65,13,52,0
2012-07-28,57,27,30,0
2012-07-29,43,8,35,0
2012-07-30,42,16,26,0
2012-07-31,98,29,69,0
2012-08-01,107,18,89,0
2012-08-02,72,21,51,0
2012-08-03,56,10,46,0
2012-08-04,3,2,1,0
2012-08-05,46,14,32,0
2012-08-06,76,13,63,0
2012-08-07,138,24,114,0
2012-08-08,175,26,149,0
2012-08-09,48,9,39,0
2012-08-10,29,3,26,0
2012-08-11,73,6,67,0
2012-08-12,29,2,27,0
2012-08-13,64,24,40,0
2012-08-14,84,21,63,0
2012-08-15,156,27,129,0
2012-08-16,60,12,48,0
2012-08-17,97,30,67,0
2012-08-18,68,15,53,0
2012-08-19,66,15,51,0
2012-08-20,173,38,135,0
2012-08-21,193,39,154,0
2012-08-22,161,39,122,0
2012-08-23,123,22,101,0
2012-08-24,112,27,85,0
2012-08-25,131,27,104,0
2012-08-26,109,27,82,0
2012-08-27,80,33,47,9
2012-08-28,66,19,47,9
2012-08-29,75,32,43,7
2012-08-30,113,51,62,10
2012-08-31,114,52,62,12
2012-09-01,59,40,19,0
2012-09-02,62,27,35,4
2012-09-03,77,26,51,11
2012-09-04,113,44,69,17
2012-09-05,127,61,66,19
2012-09-06,110,50,60,13
2012-09-07,118,41,77,19
2012-09-08,42,6,36,8
2012-09-09,48,15,33,3
2012-09-10,74,21,53,16
2012-09-11,106,33,73,20
2012-09-12,122,50,72,28
2012-09-13,170,71,99,25
2012-09-14,132,43,89,15
2012-09-15,55,14,41,1
2012-09-16,78,30,48,7
2012-09-17,88,33,55,4
2012-09-18,108,55,53,28
2012-09-19,114,41,73,23
2012-09-20,84,30,54,20
2012-09-21,79,34,45,10
2012-09-22,47,16,31,10
2012-09-23,42,19,23,2
2012-09-24,67,22,45,10
2012-09-25,103,38,65,21
2012-09-26,77,23,54,19
2012-09-27,100,34,66,21
2012-09-28,81,28,53,24
2012-09-29,30,9,21,5
2012-09-30,37,9,28,6
2012-10-01,92,41,51,17
2012-10-02,99,31,68,33
2012-10-03,88,59,29,9
2012-10-04,114,52,62,22
2012-10-05,112,41,71,32
2012-10-06,58,22,36,4
2012-10-07,84,26,58,3
2012-10-08,88,36,52,23
2012-10-09,170,103,67,20
2012-10-10,173,101,72,20
2012-10-11,118,60,58,19
2012-10-12,149,85,64,15
2012-10-13,90,50,40,32
2012-10-14,69,41,28,15
2012-10-15,185,70,115,30
2012-10-16,225,116,109,39
2012-10-17,160,66,94,30
2012-10-18,288,137,151,70
2012-10-19,260,129,131,75
2012-10-20,98,44,54,18
2012-10-21,180,123,57,17
2012-10-22,180,80,100,28
2012-10-23,160,67,93,25
2012-10-24,178,76,102,33
2012-10-25,239,87,152,47
2012-10-26,164,61,103,31
2012-10-27,83,32,51,9
2012-10-28,163,41,122,23
2012-10-29,127,28,99,18
2012-10-30,194,37,157,67
2012-10-31,134,38,96,23
2012-11-01,156,64,92,35
2012-11-02,169,68,101,33
2012-11-03,87,27,60,13
2012-11-04,98,37,61,16
2012-11-05,109,44,65,9
2012-11-06,86,32,54,22
2012-11-07,145,44,101,40
2012-11-08,110,27,83,41
2012-11-09,117,24,93,26
2012-11-10,44,13,31,10
2012-11-11,59,15,44,22
2012-11-12,122,32,90,43
2012-11-13,219,74,145,76
2012-11-14,111,31,80,49
2012-11-15,122,41,81,41
2012-11-16,165,40,125,57
2012-11-17,43,8,35,15
2012-11-18,52,14,38,19
2012-11-19,118,25,93,40
2012-11-20,138,43,95,46
2012-11-21,106,24,82,38
2012-11-22,41,16,25,9
2012-11-23,80,24,56,19
2012-11-24,37,3,34,15
2012-11-25,53,12,41,18
2012-11-26,163,35,128,74
2012-11-27,214,55,159,80
2012-11-28,127,30,97,50
2012-11-29,193,51,142,79
2012-11-30,208,58,150,84
2012-12-01,68,17,51,11
2012-12-02,79,18,61,32
2012-12-03,141,37,104,53
2012-12-04,158,45,113,40
2012-12-05,147,37,110,45
2012-12-06,122,24,98,52
2012-12-07,161,45,116,53
2012-12-08,73,21,52,29
2012-12-09,97,12,85,45
2012-12-10,175,35,140,60
2012-12-11,126,40,86,45
2012-12-12,142,28,114,54
2012-12-13,79,14,65,42
2012-12-14,104,25,79,40
2012-12-15,74,9,65,23
2012-12-16,44,11,33,12
2012-12-17,105,25,80,30
2012-12-18,75,25,50,16
2012-12-19,103,25,78,24
2012-12-20,57,19,38,14
2012-12-21,50,22,28,8
2012-12-22,17,6,11,7
2012-12-23,38,8,30,7
2012-12-24,56,19,37,19
2012-12-25,31,4,27,7
2012-12-26,93,18,75,40
2012-12-27,115,31,84,42
2012-12-28,83,23,60,27
2012-12-29,57,12,45,16
2012-12-30,57,9,48,12
2012-12-31,95,30,65,30
2013-01-01,44,12,32,2
2013-01-02,95,28,67,21
2013-01-03,98,28,70,28
2013-01-04,142,44,98,39
2013-01-05,81,13,68,31
2013-01-06,40,14,26,8
2013-01-07,99,33,66,30
2013-01-08,138,47,91,24
2013-01-09,101,44,57,28
2013-01-10,210,85,125,76
2013-01-11,118,36,82,47
2013-01-12,87,19,68,12
2013-01-13,77,14,63,23
2013-01-14,131,36,95,40
2013-01-15,115,36,79,23
2013-01-16,135,35,100,23
2013-01-17,99,29,70,20
2013-01-18,103,25,78,29
2013-01-19,68,16,52,6
2013-01-20,39,10,29,11
2013-01-21,105,31,74,31
2013-01-22,108,38,70,42
2013-01-23,102,40,62,32
2013-01-24,287,120,167,96
2013-01-25,143,43,100,57
2013-01-26,32,6,26,4
2013-01-27,39,10,29,15
2013-01-28,99,24,75,44
2013-01-29,67,24,43,14
2013-01-30,72,17,55,36
2013-01-31,92,34,58,19
2013-02-01,71,24,47,27
2013-02-02,26,5,21,5
2013-02-03,29,7,22,2
2013-02-04,69,21,48,23
2013-02-05,53,13,40,20
2013-02-06,83,21,62,40
2013-02-07,113,34,79,41
2013-02-08,127,38,89,45
2013-02-09,56,12,44,13
2013-02-10,84,13,71,18
2013-02-11,181,38,143,55
2013-02-12,104,32,72,22
2013-02-13,127,28,99,13
2013-02-14,64,16,48,17
2013-02-15,132,33,99,47
2013-02-16,63,15,48,13
2013-02-17,52,7,45,13
2013-02-18,77,14,63,14
2013-02-19,105,25,80,18
2013-02-20,118,8,110,37
2013-02-21,91,19,72,27
2013-02-22,70,9,61,18
2013-02-23,43,8,35,13
2013-02-24,39,8,31,15
2013-02-25,105,14,91,21
2013-02-26,91,12,79,19
2013-02-27,107,11,96,26
2013-02-28,74,8,66,7
2013-03-01,78,11,67,14
2013-03-02,27,2,25,3
2013-03-03,60,3,57,8
2013-03-04,133,29,104,29
2013-03-05,98,18,80,18
2013-03-06,186,39,147,47
2013-03-07,123,18,105,26
2013-03-08,99,16,83,18
2013-03-09,37,5,32,7
2013-03-10,47,2,45,9
2013-03-11,155,19,136,49
2013-03-12,118,28,90,34
2013-03-13,129,38,91,33
2013-03-14,134,35,99,21
2013-03-15,99,21,78,15
2013-03-16,58,4,54,10
2013-03-17,48,7,41,15
2013-03-18,62,8,54,12
2013-03-19,102,24,78,27
2013-03-20,73,25,48,15
2013-03-21,72,14,58,26
2013-03-22,67,12,55,27
2013-03-23,46,7,39,22
2013-03-24,16,2,14,4
2013-03-25,77,21,56,23
2013-03-26,64,11,53,17
2013-03-27,78,15,63,19
2013-03-28,75,16,59,17
2013-03-29,36,9,27,15
2013-03-30,43,3,40,6
2013-03-31,20,3,17,4
