Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,33,3,30,0
2012-07-23,109,36,73,0
2012-07-24,75,21,54,0
2012-07-25,49,10,39,0
2012-07-26,63,20,43,0
2012-07-27,31,7,24,0
2012-07-28,39,7,32,0
2012-07-29,40,6,34,0
2012-07-30,62,18,44,0
2012-07-31,57,14,43,0
2012-08-01,39,7,32,0
2012-08-02,45,5,40,0
2012-08-03,60,14,46,0
2012-08-04,19,1,18,0
2012-08-05,45,6,39,0
2012-08-06,47,13,34,0
2012-08-07,71,19,52,0
2012-08-08,58,14,44,0
2012-08-09,217,79,138,0
2012-08-10,260,100,160,0
2012-08-11,78,18,60,0
2012-08-12,59,9,50,0
2012-08-13,76,29,47,0
2012-08-14,106,29,77,0
2012-08-15,116,34,82,0
2012-08-16,106,26,80,0
2012-08-17,87,21,66,0
2012-08-18,48,11,37,0
2012-08-19,50,9,41,0
2012-08-20,73,22,51,0
2012-08-21,110,36,74,0
2012-08-22,45,21,24,0
2012-08-23,98,23,75,0
2012-08-24,116,24,92,0
2012-08-25,41,12,29,0
2012-08-26,70,5,65,0
2012-08-27,120,40,80,18
2012-08-28,52,15,37,5
2012-08-29,38,15,23,4
2012-08-30,38,17,21,4
2012-08-31,51,22,29,5
2012-09-01,47,11,36,0
2012-09-02,32,4,28,2
2012-09-03,35,4,31,1
2012-09-04,106,42,64,17
2012-09-05,50,19,31,7
2012-09-06,112,41,71,16
2012-09-07,102,48,54,17
2012-09-08,35,8,27,1
2012-09-09,39,11,28,1
2012-09-10,47,17,30,10
2012-09-11,55,34,21,3
2012-09-12,37,9,28,0
2012-09-13,48,24,24,11
2012-09-14,43,16,27,3
2012-09-15,34,8,26,2
2012-09-16,26,2,24,1
2012-09-17,68,28,40,13
2012-09-18,43,11,32,4
2012-09-19,22,7,15,2
2012-09-20,45,8,37,9
2012-09-21,34,13,21,2
2012-09-22,26,3,23,2
2012-09-23,22,6,16,2
2012-09-24,46,11,35,9
2012-09-25,39,16,23,8
2012-09-26,30,7,23,4
2012-09-27,43,12,31,3
2012-09-28,58,15,43,3
2012-09-29,34,7,27,3
2012-09-30,58,9,49,5
2012-10-01,64,14,50,10
2012-10-02,41,21,20,7
2012-10-03,55,33,22,15
2012-10-04,66,20,46,7
2012-10-05,38,10,28,5
2012-10-06,20,6,14,5
2012-10-07,27,5,22,4
2012-10-08,33,11,22,5
2012-10-09,40,11,29,4
2012-10-10,50,22,28,17
2012-10-11,53,19,34,15
2012-10-12,54,14,40,8
2012-10-13,24,4,20,7
2012-10-14,28,2,26,4
2012-10-15,45,14,31,7
2012-10-16,61,19,42,6
2012-10-17,38,11,27,7
2012-10-18,23,10,13,2
2012-10-19,80,25,55,13
2012-10-20,16,7,9,2
2012-10-21,28,6,22,2
2012-10-22,63,26,37,6
2012-10-23,42,6,36,8
2012-10-24,38,12,26,7
2012-10-25,45,8,37,3
2012-10-26,30,9,21,7
2012-10-27,28,5,23,2
2012-10-28,21,4,17,1
2012-10-29,37,7,30,7
2012-10-30,20,5,15,3
2012-10-31,28,11,17,5
2012-11-01,21,8,13,7
2012-11-02,10,3,7,2
2012-11-03,18,1,17,0
2012-11-04,24,4,20,2
2012-11-05,36,9,27,7
2012-11-06,15,4,11,3
2012-11-07,20,6,14,2
2012-11-08,83,25,58,17
2012-11-09,83,25,58,18
2012-11-10,44,9,35,7
2012-11-11,37,12,25,9
2012-11-12,64,21,43,17
2012-11-13,35,7,28,2
2012-11-14,55,12,43,9
2012-11-15,47,9,38,2
2012-11-16,55,12,43,7
2012-11-17,46,6,40,2
2012-11-18,50,8,42,5
2012-11-19,50,10,40,3
2012-11-20,42,12,30,5
2012-11-21,48,9,39,5
2012-11-22,20,4,16,4
2012-11-23,39,12,27,7
2012-11-24,19,2,17,5
2012-11-25,23,5,18,4
2012-11-26,37,12,25,11
2012-11-27,73,14,59,22
2012-11-28,39,6,33,9
2012-11-29,35,9,26,10
2012-11-30,42,12,30,16
2012-12-01,16,5,11,2
2012-12-02,23,8,15,3
2012-12-03,64,13,51,21
2012-12-04,55,13,42,28
2012-12-05,70,17,53,25
