Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,122,21,101,0
2012-07-23,123,25,98,0
2012-07-24,120,26,94,0
2012-07-25,122,12,110,0
2012-07-26,69,7,62,0
2012-07-27,75,21,54,0
2012-07-28,99,17,82,0
2012-07-29,71,22,49,0
2012-07-30,71,12,59,0
2012-07-31,89,16,73,0
2012-08-01,136,35,101,0
2012-08-02,99,14,85,0
2012-08-03,106,24,82,0
2012-08-04,45,11,34,0
2012-08-05,37,13,24,0
2012-08-06,72,15,57,0
2012-08-07,72,21,51,0
2012-08-08,100,24,76,0
2012-08-09,64,14,50,0
2012-08-10,80,18,62,0
2012-08-11,45,19,26,0
2012-08-12,160,54,106,0
2012-08-13,169,41,128,0
2012-08-14,125,28,97,0
2012-08-15,91,19,72,0
2012-08-16,111,35,76,0
2012-08-17,90,18,72,0
2012-08-18,29,6,23,0
2012-08-19,58,15,43,0
2012-08-20,55,10,45,0
2012-08-21,100,19,81,0
2012-08-22,67,26,41,0
2012-08-23,145,29,116,0
2012-08-24,140,44,96,0
2012-08-25,102,20,82,0
2012-08-26,38,11,27,0
2012-08-27,65,22,43,2
2012-08-28,76,23,53,1
2012-08-29,66,17,49,7
2012-08-30,63,21,42,0
2012-08-31,77,24,53,1
2012-09-01,15,7,8,0
2012-09-02,17,10,7,2
2012-09-03,29,10,19,2
2012-09-04,108,25,83,24
2012-09-05,92,27,65,12
2012-09-06,58,25,33,8
2012-09-07,44,15,29,3
2012-09-08,26,11,15,1
2012-09-09,16,7,9,0
2012-09-10,42,8,34,1
2012-09-11,38,8,30,1
2012-09-12,43,12,31,0
2012-09-13,52,15,37,15
2012-09-14,54,12,42,12
2012-09-15,48,10,38,9
2012-09-16,30,4,26,13
2012-09-17,41,6,35,19
2012-09-18,85,26,59,5
2012-09-19,72,18,54,10
2012-09-20,115,54,61,26
2012-09-21,57,18,39,5
2012-09-22,63,15,48,16
2012-09-23,25,11,14,5
2012-09-24,59,19,40,11
2012-09-25,46,15,31,4
2012-09-26,87,22,65,29
2012-09-27,39,12,27,4
2012-09-28,66,16,50,13
2012-09-29,35,13,22,12
2012-09-30,43,20,23,20
2012-10-01,80,17,63,16
2012-10-02,100,39,61,33
2012-10-03,106,32,74,21
2012-10-04,110,52,58,30
2012-10-05,96,27,69,14
2012-10-06,53,25,28,10
2012-10-07,39,20,19,14
2012-10-08,59,22,37,12
2012-10-09,87,30,57,29
2012-10-10,70,26,44,21
2012-10-11,129,53,76,63
2012-10-12,114,55,59,24
2012-10-13,32,11,21,14
2012-10-14,30,12,18,6
2012-10-15,84,28,56,26
2012-10-16,117,42,75,41
2012-10-17,83,33,50,26
2012-10-18,89,33,56,15
2012-10-19,79,31,48,13
2012-10-20,32,11,21,3
2012-10-21,23,5,18,3
2012-10-22,37,9,28,1
2012-10-23,90,28,62,1
2012-10-24,98,34,64,13
2012-10-25,85,35,50,4
2012-10-26,70,26,44,1
2012-10-27,85,52,33,0
2012-10-28,62,30,32,4
2012-10-29,78,29,49,5
2012-10-30,80,38,42,0
2012-10-31,55,24,31,0
2012-11-01,73,25,48,0
2012-11-02,84,39,45,2
2012-11-03,47,16,31,0
2012-11-04,47,18,29,0
2012-11-05,46,20,26,0
2012-11-06,63,23,40,1
2012-11-07,95,41,54,0
2012-11-08,33,14,19,0
2012-11-09,35,15,20,0
2012-11-10,28,8,20,6
2012-11-11,6,5,1,0
2012-11-12,60,23,37,0
2012-11-13,38,11,27,0
2012-11-14,42,21,21,1
2012-11-15,49,20,29,0
2012-11-16,37,11,26,0
2012-11-17,20,2,18,10
2012-11-18,16,10,6,0
2012-11-19,15,4,11,1
2012-11-20,27,13,14,1
2012-11-21,24,7,17,2
2012-11-22,13,6,7,4
2012-11-23,9,2,7,0
2012-11-24,5,1,4,0
2012-11-25,6,3,3,0
2012-11-26,12,7,5,0
2012-11-27,56,15,41,9
2012-11-28,38,14,24,1
2012-11-29,55,15,40,5
2012-11-30,28,6,22,4
2012-12-01,48,9,39,13
2012-12-02,26,9,17,6
2012-12-03,89,28,61,5
2012-12-04,84,27,57,12
2012-12-05,47,14,33,1
2012-12-06,102,34,68,18
2012-12-07,54,14,40,10
2012-12-08,28,10,18,9
2012-12-09,24,10,14,5
2012-12-10,56,13,43,2
2012-12-11,77,20,57,9
2012-12-12,68,19,49,2
2012-12-13,55,10,45,1
2012-12-14,20,4,16,5
2012-12-15,15,2,13,0
2012-12-16,52,15,37,15
2012-12-17,94,25,69,1
2012-12-18,88,39,49,15
2012-12-19,52,24,28,8
2012-12-20,19,7,12,8
2012-12-21,29,3,26,0
2012-12-22,22,4,18,0
2012-12-23,2,2,0,0
2012-12-24,12,1,11,1
2012-12-25,2,1,1,0
2012-12-26,7,1,6,0
2012-12-27,13,4,9,0
2012-12-28,3,0,3,0
2012-12-29,1,1,0,0
2012-12-30,6,1,5,3
2012-12-31,5,1,4,0
2013-01-01,2,0,2,0
2013-01-02,34,8,26,4
2013-01-03,27,6,21,0
2013-01-04,17,7,10,2
2013-01-05,9,2,7,1
2013-01-06,2,0,2,0
2013-01-07,5,3,2,0
2013-01-08,17,7,10,3
2013-01-09,23,11,12,0
2013-01-10,15,6,9,2
2013-01-11,22,7,15,5
2013-01-12,52,5,47,12
2013-01-13,20,7,13,5
2013-01-14,22,6,16,0
2013-01-15,20,4,16,2
2013-01-16,19,7,12,0
