Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,2,0,2,0
2012-07-23,20,4,16,0
2012-07-24,98,29,69,0
2012-07-25,32,8,24,0
2012-07-26,57,13,44,0
2012-07-27,61,25,36,0
2012-07-28,25,5,20,0
2012-07-29,11,3,8,0
2012-07-30,21,6,15,0
2012-07-31,50,7,43,0
2012-08-01,23,4,19,0
2012-08-02,25,8,17,0
2012-08-03,29,13,16,0
2012-08-04,10,2,8,0
2012-08-05,15,2,13,0
2012-08-06,45,4,41,0
2012-08-07,72,11,61,0
2012-08-08,61,11,50,0
2012-08-09,46,10,36,0
2012-08-10,36,12,24,0
2012-08-11,9,2,7,0
2012-08-12,21,1,20,0
2012-08-13,27,2,25,0
2012-08-14,25,5,20,0
2012-08-15,31,6,25,0
2012-08-16,34,6,28,0
2012-08-17,58,7,51,0
2012-08-18,35,7,28,0
2012-08-19,44,1,43,0
2012-08-20,72,8,64,0
2012-08-21,88,15,73,0
2012-08-22,69,10,59,0
2012-08-23,78,5,73,0
2012-08-24,70,12,58,0
2012-08-25,38,2,36,0
2012-08-26,36,2,34,0
2012-08-27,75,7,68,0
2012-08-28,82,9,73,0
2012-08-29,44,5,39,0
2012-08-30,83,11,72,0
2012-08-31,99,9,90,0
2012-09-01,32,2,30,0
2012-09-02,82,7,75,0
2012-09-03,51,4,47,0
2012-09-04,62,10,52,10
2012-09-05,45,7,38,13
2012-09-06,60,11,49,22
2012-09-07,55,6,49,16
2012-09-08,32,7,25,6
2012-09-09,37,9,28,12
2012-09-10,23,5,18,3
2012-09-11,37,3,34,12
2012-09-12,41,15,26,16
2012-09-13,50,11,39,26
2012-09-14,61,15,46,7
2012-09-15,21,6,15,12
2012-09-16,14,2,12,1
2012-09-17,43,10,33,8
2012-09-18,25,5,20,9
2012-09-19,46,9,37,10
2012-09-20,57,6,51,8
2012-09-21,76,10,66,6
2012-09-22,45,8,37,4
2012-09-23,29,2,27,5
2012-09-24,43,9,34,7
2012-09-25,28,5,23,7
2012-09-26,30,6,24,9
2012-09-27,43,6,37,10
2012-09-28,41,12,29,9
2012-09-29,15,3,12,5
2012-09-30,19,3,16,4
2012-10-01,38,4,34,1
2012-10-02,57,8,49,15
2012-10-03,48,9,39,8
2012-10-04,64,13,51,11
2012-10-05,47,10,37,4
2012-10-06,18,4,14,3
2012-10-07,15,4,11,1
2012-10-08,61,8,53,15
2012-10-09,81,11,70,15
2012-10-10,62,6,56,24
2012-10-11,85,14,71,9
2012-10-12,77,14,63,9
2012-10-13,32,3,29,2
2012-10-14,15,5,10,8
2012-10-15,60,16,44,12
2012-10-16,68,15,53,17
2012-10-17,64,11,53,9
2012-10-18,131,14,117,14
2012-10-19,43,9,34,4
2012-10-20,25,4,21,4
2012-10-21,25,6,19,5
2012-10-22,66,8,58,8
2012-10-23,72,12,60,14
2012-10-24,78,25,53,22
2012-10-25,57,12,45,5
2012-10-26,48,8,40,6
2012-10-27,29,4,25,4
2012-10-28,49,6,43,6
2012-10-29,34,7,27,8
2012-10-30,48,7,41,12
2012-10-31,53,8,45,12
2012-11-01,57,8,49,16
2012-11-02,67,16,51,16
2012-11-03,49,7,42,12
2012-11-04,65,6,59,16
2012-11-05,87,10,77,23
2012-11-06,68,16,52,10
2012-11-07,114,24,90,20
2012-11-08,78,10,68,8
2012-11-09,55,7,48,14
2012-11-10,38,8,30,17
2012-11-11,25,2,23,1
2012-11-12,29,3,26,3
2012-11-13,66,6,60,11
2012-11-14,48,4,44,4
2012-11-15,41,8,33,7
2012-11-16,50,11,39,7
2012-11-17,15,2,13,3
2012-11-18,4,1,3,0
2012-11-19,23,2,21,3
