Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,25,10,15,0
2012-07-23,10,5,5,0
2012-07-24,26,12,14,0
2012-07-25,21,11,10,0
2012-07-26,40,15,25,0
2012-07-27,17,10,7,0
2012-07-28,8,0,8,0
2012-07-29,4,0,4,0
2012-07-30,3,0,3,0
2012-07-31,15,7,8,0
2012-08-01,38,12,26,0
2012-08-02,28,4,24,0
2012-08-03,28,8,20,0
2012-08-04,11,7,4,0
2012-08-05,25,10,15,0
2012-08-06,46,13,33,0
2012-08-07,47,14,33,0
2012-08-08,82,23,59,0
2012-08-09,33,10,23,0
2012-08-10,22,10,12,0
2012-08-11,8,4,4,0
2012-08-12,9,4,5,0
2012-08-13,18,7,11,0
2012-08-14,41,22,19,0
2012-08-15,14,6,8,0
2012-08-16,35,19,16,0
2012-08-17,45,16,29,0
2012-08-18,49,10,39,0
2012-08-19,48,6,42,0
2012-08-20,48,13,35,0
2012-08-21,77,22,55,0
2012-08-22,84,15,69,0
2012-08-23,76,21,55,0
2012-08-24,57,14,43,0
2012-08-25,39,5,34,0
2012-08-26,70,9,61,0
2012-08-27,97,6,91,0
2012-08-28,99,27,72,0
2012-08-29,131,26,105,0
2012-08-30,93,35,58,0
2012-08-31,98,23,75,0
2012-09-01,57,11,46,0
2012-09-02,32,9,23,0
2012-09-03,49,12,37,0
2012-09-04,47,11,36,2
2012-09-05,43,23,20,6
2012-09-06,48,20,28,4
2012-09-07,39,13,26,4
2012-09-08,10,4,6,0
2012-09-09,25,13,12,5
2012-09-10,27,13,14,0
2012-09-11,22,11,11,1
2012-09-12,48,25,23,1
2012-09-13,33,20,13,2
2012-09-14,39,12,27,2
2012-09-15,19,4,15,3
2012-09-16,15,9,6,0
2012-09-17,32,14,18,1
2012-09-18,55,23,32,4
2012-09-19,45,22,23,3
2012-09-20,63,21,42,2
2012-09-21,52,17,35,4
2012-09-22,15,6,9,1
2012-09-23,31,12,19,0
2012-09-24,28,13,15,1
2012-09-25,43,20,23,2
2012-09-26,62,28,34,2
2012-09-27,46,25,21,3
2012-09-28,51,17,34,1
2012-09-29,16,5,11,0
2012-09-30,37,7,30,2
2012-10-01,40,16,24,0
2012-10-02,26,17,9,0
2012-10-03,34,20,14,1
2012-10-04,43,24,19,2
2012-10-05,32,13,19,5
2012-10-06,27,12,15,2
2012-10-07,22,5,17,5
2012-10-08,62,25,37,7
2012-10-09,79,29,50,8
2012-10-10,58,27,31,0
2012-10-11,19,11,8,1
2012-10-12,47,17,30,2
2012-10-13,34,14,20,0
2012-10-14,23,4,19,0
2012-10-15,30,13,17,1
2012-10-16,57,16,41,6
2012-10-17,79,29,50,11
2012-10-18,46,21,25,5
2012-10-19,34,11,23,2
2012-10-20,35,8,27,1
2012-10-21,20,11,9,1
2012-10-22,35,18,17,2
2012-10-23,62,21,41,4
2012-10-24,37,14,23,3
2012-10-25,32,17,15,2
2012-10-26,25,12,13,2
2012-10-27,10,4,6,1
2012-10-28,33,7,26,5
2012-10-29,28,10,18,3
2012-10-30,15,5,10,0
2012-10-31,35,19,16,5
2012-11-01,51,19,32,4
2012-11-02,23,9,14,6
2012-11-03,32,12,20,4
2012-11-04,50,17,33,5
2012-11-05,62,34,28,5
2012-11-06,65,35,30,7
2012-11-07,77,36,41,19
2012-11-08,52,16,36,17
2012-11-09,44,12,32,10
2012-11-10,33,8,25,13
2012-11-11,30,12,18,14
2012-11-12,27,13,14,9
2012-11-13,43,12,31,17
2012-11-14,35,18,17,15
2012-11-15,43,19,24,9
2012-11-16,43,22,21,12
2012-11-17,26,12,14,11
2012-11-18,12,4,8,4
2012-11-19,32,11,21,16
2012-11-20,66,18,48,19
2012-11-21,30,17,13,10
2012-11-22,6,1,5,0
2012-11-23,12,6,6,5
2012-11-24,10,5,5,7
2012-11-25,46,10,36,21
2012-11-26,9,5,4,1
2012-11-27,46,16,30,2
2012-11-28,35,12,23,3
2012-11-29,38,14,24,2
2012-11-30,29,11,18,1
2012-12-01,13,6,7,0
2012-12-02,21,6,15,4
2012-12-03,31,10,21,10
2012-12-04,32,20,12,3
2012-12-05,31,14,17,4
2012-12-06,22,11,11,0
2012-12-07,48,14,34,13
2012-12-08,18,6,12,2
2012-12-09,18,10,8,0
2012-12-10,13,7,6,2
2012-12-11,39,25,14,6
2012-12-12,24,14,10,2
2012-12-13,34,18,16,3
2012-12-14,47,16,31,3
2012-12-15,27,13,14,1
2012-12-16,21,8,13,2
2012-12-17,56,19,37,4
2012-12-18,50,14,36,1
2012-12-19,48,12,36,8
2012-12-20,25,9,16,3
2012-12-21,61,21,40,1
2012-12-22,22,3,19,0
2012-12-23,13,2,11,1
2012-12-24,41,14,27,1
2012-12-25,40,9,31,3
2012-12-26,36,12,24,2
2012-12-27,32,10,22,1
2012-12-28,44,13,31,1
2012-12-29,24,10,14,1
2012-12-30,35,10,25,6
2012-12-31,50,13,37,6
2013-01-01,27,8,19,5
2013-01-02,67,21,46,3
2013-01-03,39,16,23,1
2013-01-04,38,17,21,2
2013-01-05,21,9,12,1
2013-01-06,10,6,4,0
2013-01-07,14,6,8,1
2013-01-08,20,10,10,2
2013-01-09,18,8,10,3
2013-01-10,32,19,13,1
2013-01-11,16,8,8,1
