Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2012-07-22,18,4,14,1
2012-07-23,36,10,26,2
2012-07-24,92,33,59,11
2012-07-25,67,17,50,13
2012-07-26,49,22,27,3
2012-07-27,39,16,23,6
2012-07-28,9,7,2,5
2012-07-29,19,6,13,3
2012-07-30,23,11,12,1
2012-07-31,78,24,54,9
2012-08-01,36,20,16,4
2012-08-02,43,14,29,3
2012-08-03,28,11,17,3
2012-08-04,12,5,7,3
2012-08-05,17,7,10,3
2012-08-06,37,15,22,2
2012-08-07,26,12,14,1
2012-08-08,25,8,17,2
2012-08-09,183,96,87,20
2012-08-10,307,157,150,63
2012-08-11,25,11,14,8
2012-08-12,30,9,21,3
2012-08-13,75,43,32,6
2012-08-14,200,111,89,40
2012-08-15,96,55,41,32
2012-08-16,58,29,29,10
2012-08-17,57,26,31,6
2012-08-18,8,3,5,1
2012-08-19,12,3,9,2
2012-08-20,50,19,31,5
2012-08-21,76,30,46,9
2012-08-22,72,41,31,17
2012-08-23,74,36,38,12
2012-08-24,52,21,31,12
2012-08-25,14,9,5,5
2012-08-26,23,8,15,6
2012-08-27,119,59,60,15
2012-08-28,119,60,59,25
2012-08-29,54,22,32,13
2012-08-30,47,25,22,10
2012-08-31,46,24,22,6
2012-09-01,15,4,11,5
2012-09-02,20,7,13,6
2012-09-03,15,5,10,5
2012-09-04,74,28,46,18
2012-09-05,73,30,43,15
2012-09-06,91,48,43,18
2012-09-07,76,30,46,12
2012-09-08,39,16,23,9
2012-09-09,18,2,16,1
2012-09-10,32,10,22,5
2012-09-11,51,16,35,11
2012-09-12,94,30,64,14
2012-09-13,57,14,43,7
2012-09-14,59,24,35,16
2012-09-15,23,6,17,3
2012-09-16,24,2,22,6
2012-09-17,132,30,102,15
2012-09-18,303,98,205,86
2012-09-19,183,60,123,42
2012-09-20,153,38,115,27
2012-09-21,152,44,108,47
2012-09-22,49,10,39,15
2012-09-23,30,7,23,8
2012-09-24,181,52,129,26
2012-09-25,231,80,151,33
2012-09-26,210,53,157,14
2012-09-27,318,119,199,74
2012-09-28,158,29,129,25
2012-09-29,38,8,30,15
2012-09-30,48,5,43,8
2012-10-01,191,66,125,27
2012-10-02,73,36,37,10
2012-10-03,108,30,78,21
2012-10-04,62,15,47,15
2012-10-05,62,14,48,19
2012-10-06,35,7,28,6
2012-10-07,35,12,23,9
2012-10-08,137,29,108,16
2012-10-09,102,26,76,6
2012-10-10,111,19,92,8
2012-10-11,59,28,31,22
2012-10-12,99,25,74,12
2012-10-13,27,5,22,8
2012-10-14,21,10,11,3
2012-10-15,232,104,128,14
2012-10-16,179,53,126,20
2012-10-17,167,38,129,16
2012-10-18,158,46,112,19
2012-10-19,129,37,92,20
2012-10-20,29,5,24,5
2012-10-21,43,9,34,8
2012-10-22,381,150,231,61
2012-10-23,187,64,123,32
2012-10-24,201,104,97,20
2012-10-25,122,58,64,11
2012-10-26,57,22,35,9
2012-10-27,15,9,6,5
2012-10-28,11,3,8,5
2012-10-29,17,8,9,1
2012-10-30,20,9,11,3
2012-10-31,74,17,57,3
2012-11-01,40,11,29,10
2012-11-02,65,18,47,16
2012-11-03,14,3,11,9
2012-11-04,20,7,13,7
2012-11-05,69,25,44,32
2012-11-06,62,20,42,15
2012-11-07,77,17,60,31
2012-11-08,63,16,47,12
2012-11-09,54,20,34,15
2012-11-10,20,6,14,9
2012-11-11,23,10,13,12
2012-11-12,91,38,53,32
2012-11-13,103,29,74,23
2012-11-14,88,32,56,18
2012-11-15,124,40,84,25
2012-11-16,95,33,62,19
2012-11-17,24,5,19,8
2012-11-18,41,15,26,18
2012-11-19,118,37,81,20
2012-11-20,87,11,76,15
2012-11-21,72,19,53,24
2012-11-22,27,5,22,2
2012-11-23,51,11,40,11
2012-11-24,29,6,23,10
2012-11-25,26,4,22,10
2012-11-26,158,41,117,37
2012-11-27,117,33,84,31
2012-11-28,121,32,89,31
